ranking,title,location,continent
289,Sun Yat-sen University,China,Asia
290,University of Surrey,United Kingdom,Europe
291,Swansea University,United Kingdom,Europe
292,University of Tartu,Estonia,Europe
293,Università della Svizzera Italiana,Switzerland,Europe
294,University College Dublin,Ireland,Europe
295,Vita-Salute San Raffaele University,Italy,Europe
296,Vrije Universiteit Brussel,Belgium,Europe
297,Wake Forest University,United States,America
298,Western Sydney University,Australia,Oceania
299,William & Mary,United States,America
300,American University of Beirut,Lebanon,Asia
301,Anglia Ruskin University ARU,United Kingdom,Europe
302,Autonomous University of Madrid,Spain,Europe
303,Beijing Normal University,China,Asia
304,Boston College,United States,America
305,"University of California, Merced",United States,America
306,University of Colorado Denver,United States,America
307,Cyprus University of Technology,Cyprus,Asia
308,University of Delaware,United States,America
309,University of Essex,United Kingdom,Europe
310,University of Greifswald,Germany,Europe
311,Huazhong University of Science and Technology,China,Asia
312,Illinois Institute of Technology,United States,America
313,Indian Institute of Science,India,Asia
314,Johannes Gutenberg University of Mainz,Germany,Europe
315,University of Kent,United Kingdom,Europe
316,University of Klagenfurt,Austria,Europe
317,Kurdistan University of Medical Sciences,Iran,Asia
318,University of Macau,Macao,Asia
319,University of Malaya,Malaysia,Asia
320,University of Marburg,Germany,Europe
321,Montpellier University,France,Europe
322,"National University of Ireland, Galway",Ireland,Europe
323,North Carolina State University,United States,America
324,University of Oregon,United States,America
325,University of Oulu,Finland,Europe
326,University of Passau,Germany,Europe
327,Peter the Great St Petersburg Polytechnic University,Russian Federation,Asia
328,Qatar University,Qatar,Asia
329,Reykjavík University,Iceland,Europe
330,RMIT University,Australia,Oceania
331,"Royal Holloway, University of London",United Kingdom,Europe
332,Rush University,United States,America
333,Sejong University,South Korea,Asia
334,University of South Australia,Australia,Oceania
335,University of Stirling,United Kingdom,Europe
336,Stony Brook University,United States,America
337,Syracuse University,United States,America
338,Taipei Medical University,Taiwan,Asia
339,Tampere University,Finland,Europe
340,Technical University of Darmstadt,Germany,Europe
341,Temple University,United States,America
342,The University of Tennessee-Knoxville,United States,America
343,University of Texas at Dallas,United States,America
344,Tokyo Institute of Technology,Japan,Asia
345,University of Trento,Italy,Europe
346,Tulane University,United States,America
347,United Arab Emirates University,United Arab Emirates,Asia
348,University College Cork,Ireland,Europe
349,Washington State University,United States,America
350,Wuhan University,China,Asia
351,Aix-Marseille University,France,Europe
352,Babol Noshirvani University of Technology,Iran,Asia
353,University of Bayreuth,Germany,Europe
354,"Birkbeck, University of London",United Kingdom,Europe
355,Universiti Brunei Darussalam,Brunei Darussalam,Asia
356,Brunel University London,United Kingdom,Europe
357,Catholic University of Portugal,Portugal,Europe
358,Central South University,China,Asia
