ranking,title,location,continent
1373,Russian Presidential Academy of National Economy and Public Administration,Russian Federation,Asia
1374,Ryukoku University,Japan,Asia
1375,University of the Ryukyus,Japan,Asia
1376,University of La Sabana,Colombia,America
1377,Saga University,Japan,Asia
1378,Saitama University,Japan,Asia
1379,Saitama Medical University,Japan,Asia
1380,Sakarya University,Turkey,Asia
1381,Samara University,Russian Federation,Asia
1382,Samara State Technical University,Russian Federation,Asia
1383,San Sebastián University,Chile,America
1384,Santa Catarina State University,Brazil,America
1385,"University of Santiago, Chile (USACH)",Chile,America
1386,Sapporo Medical University,Japan,Asia
1387,University of Sargodha,Pakistan,Asia
1388,SASTRA University,India,Asia
1389,Satbayev University,Kazakhstan,Asia
1390,Sathyabama Institute of Science and Technology,India,Asia
1391,Saveetha University,India,Asia
1392,University of Sciences and Technology Houari Boumediene,Algeria,Africa
1393,University of Science and Technology of Oran Mohamed-Boudiaf,Algeria,Africa
1394,Sechenov University,Russian Federation,Asia
1395,Selçuk University,Turkey,Asia
1396,Semnan University,Iran,Asia
1397,University of Seoul,South Korea,Asia
1398,Seoul National University of Science and Technology (SeoulTech),South Korea,Asia
1399,University of Sfax,Tunisia,Africa
1400,Shahed University,Iran,Asia
1401,Shahid Bahonar University of Kerman,Iran,Asia
1402,​Shahid Chamran University of Ahvaz,Iran,Asia
1403,Shahid Rajaee Teacher Training University,Iran,Asia
1404,Shahrekord University,Iran,Asia
1405,Shahrood University of Technology,Iran,Asia
1406,Shibaura Institute of Technology Tokyo,Japan,Asia
1407,Shiga University of Medical Science,Japan,Asia
1408,Shimane University,Japan,Asia
1409,Shinshu University,Japan,Asia
1410,Shiraz University of Medical Sciences,Iran,Asia
1411,Shizuoka University,Japan,Asia
1412,University of Shizuoka,Japan,Asia
1413,Showa University,Japan,Asia
1414,Siberian Federal University,Russian Federation,Asia
1415,Siksha ‘O’ Anusandhan,India,Asia
1416,University of Silesia in Katowice,Poland,Europe
1417,Silesian University of Technology,Poland,Europe
1418,Silpakorn University,Thailand,Asia
1419,Simón Bolívar University,Venezuela,America
1420,University of Sistan and Baluchestan,Iran,Asia
1421,Slovak University of Technology in Bratislava,Slovakia,Europe
1422,Sofia University,Bulgaria,Europe
1423,University of Sonora,Mexico,America
1424,Soongsil University,South Korea,Asia
1425,Sophia University,Japan,Asia
1426,University of Sousse,Tunisia,Africa
1427,University of South Africa,South Africa,Africa
1428,University of South China,China,Asia
1429,Southern Federal University,Russian Federation,Asia
1430,South Ural State University,Russian Federation,Asia
1431,South Valley University,Egypt,Africa
1432,University of South Wales,United Kingdom,Europe
1433,Southwest Jiaotong University,China,Asia
1434,Srinakharinwirot University,Thailand,Asia
1435,SRM Institute of Science and Technology,India,Asia
1436,Staffordshire University,United Kingdom,Europe
1437,State University of Maringá,Brazil,America
1438,State University of Ponta Grossa,Brazil,America
1439,State University of Santa Cruz,Brazil,America
1440,St Marianna University School of Medicine,Japan,Asia
1441,St Petersburg Electrotechnical University (LETI),Russian Federation,Asia
1442,Süleyman Demirel University,Turkey,Asia
1443,Suranaree University of Technology,Thailand,Asia
1444,SWPS University of Social Sciences and Humanities,Poland,Europe
1445,Szent István University,Hungary,Europe
1446,University of Talca,Chile,America
1447,Tamil Nadu Agricultural University,India,Asia
1448,Tamkang University,Taiwan,Asia
1449,Tanta University,Egypt,Africa
1450,University of Tarapacá,Chile,America
1451,Taras Shevchenko National University of Kyiv,Ukraine,Europe
1452,Technical University of Cluj-Napoca,Romania,Europe
1453,Technical University of Košice,Slovakia,Europe
1454,Technical University of Liberec,Czech Republic,Europe
1455,"University of Technology, Iraq",Iraq,Asia
1456,Universiti Teknikal Malaysia Melaka,Malaysia,Asia
1457,Universiti Teknologi MARA,Malaysia,Asia
1458,Institut Teknologi Sepuluh Nopember,Indonesia,Asia
1459,Telkom University,Indonesia,Asia
1460,Texas State University,United States,America
1461,Tezpur University,India,Asia
1462,Thammasat University,Thailand,Asia
1463,University of Tlemcen,Algeria,Africa
1464,TOBB University of Economics and Technology,Turkey,Asia
1465,Toho University,Japan,Asia
1466,Tokai University,Japan,Asia
1467,Tokat Gaziosmanpaşa University,Turkey,Asia
1468,Tokushima University,Japan,Asia
1469,Tokyo University of Agriculture,Japan,Asia
1470,Tokyo University of Agriculture and Technology,Japan,Asia
1471,Tokyo City University,Japan,Asia
1472,Tokyo Denki University,Japan,Asia
1473,Tokyo University of Marine Science and Technology,Japan,Asia
1474,Tokyo University of Science,Japan,Asia
1475,Tomas Bata University in Zlín,Czech Republic,Europe
1476,Tomsk State University of Control Systems and Radioelectronics,Russian Federation,Asia
1477,Tottori University,Japan,Asia
1478,University of Toyama,Japan,Asia
1479,Toyo University,Japan,Asia
1480,Toyohashi University of Technology (TUT),Japan,Asia
1481,Transilvania University of Brașov,Romania,Europe
1482,University of Trás-os-Montes and Alto Douro,Portugal,Europe
1483,Tshwane University of Technology,South Africa,Africa
1484,Tunghai University,Taiwan,Asia
1485,University of Tunis El Manar,Tunisia,Africa
1486,Tzu Chi University,Taiwan,Asia
1487,Ufa State Aviation Technical University,Russian Federation,Asia
1488,Umm Al-Qura University,Saudi Arabia,Asia
1489,Unisinos University,Brazil,America
1490,Ural Federal University,Russian Federation,Asia
1491,Urmia University,Iran,Asia
1492,Utsunomiya University,Japan,Asia
1493,University of Valladolid,Spain,Europe
1494,University of Valparaíso,Chile,America
1495,"University of Veterinary and Animal Sciences, Lahore",Pakistan,Asia
1496,Vietnam National University (Ho Chi Minh City),Vietnam,Asia
1497,"Visvesvaraya National Institute of Technology, Nagpur",India,Asia
1498,V.N. Karazin Kharkiv National University,Ukraine,Europe
1499,Voronezh State University,Russian Federation,Asia
1500,VSB - Technical University of Ostrava,Czech Republic,Europe
1501,Vytautas Magnus University,Lithuania,Europe
1502,Warsaw University of Life Sciences – SGGW,Poland,Europe
1503,Warsaw University of Technology,Poland,Europe
1504,Wenzhou Medical University,China,Asia
1505,University of West Bohemia,Czech Republic,Europe
1506,Western Michigan University,United States,America
1507,Western Paraná State University (Unioeste),Brazil,America
1508,West University of Timişoara,Romania,Europe
1509,Wrocław University of Environmental and Life Sciences,Poland,Europe
1510,Wrocław University of Science and Technology,Poland,Europe
1511,University of Wrocław,Poland,Europe
1512,Xiangtan University,China,Asia
1513,Yamagata University,Japan,Asia
1514,Yamaguchi University,Japan,Asia
1515,University of Yamanashi,Japan,Asia
1516,Yanshan University,China,Asia
1517,Yarmouk University,Jordan,Asia
1518,Yazd University,Iran,Asia
1519,Yeditepe University,Turkey,Asia
1520,Yıldız Technical University,Turkey,Asia
1521,Yokohama National University,Japan,Asia
1522,Yuan Ze University,Taiwan,Asia
1523,Yuriy Fedkovych Chernivtsi National University,Ukraine,Europe
1524,Zagazig University,Egypt,Africa
1525,University of Zagreb,Croatia,Europe
1526,University of Žilina,Slovakia,Europe
